,text,question_score,adjusted_question_score,from_bot,_created
0,Hi Baily,20.0,100.0,False,
1,what tim eis it?,94.0,94.0,False,
2,where are you?,28.0,100.0,False,
3,really?,40.0,100.0,False,
4,lol,100.0,100.0,False,
5,haha,100.0,100.0,False,
6,you are funny,33.0,100.0,False,
7,what is my revenue?,50.0,95.0,False,
8,cool,89.0,89.0,False,
9,how are you?,96.0,96.0,False,
10,hi,100.0,100.0,False,
11,yo,21.0,100.0,False,
12,Baily or Bailey?,48.0,100.0,False,
13,,0.0,0.0,False,
14,fuck you dude,67.0,100.0,False,
15,what is the answer to the universe and everything?,96.0,96.0,False,
16,where are you from Baily?,42.0,100.0,False,
17,yo,21.0,100.0,False,
18,whats up,94.0,94.0,False,
19,test,33.0,100.0,False,
20,hi,100.0,100.0,False,
21,🐱,,,True,2016-08-29 22:54:44
22,Rude,,,True,2016-08-29 22:59:18
23,how are you?,96.0,96.0,False,
24,cool,89.0,89.0,False,
25,test,33.0,100.0,False,
26,that's good.,57.0,100.0,False,
27,what time is it?,100.0,100.0,False,
28,what is my revenue baily?,52.0,100.0,False,
29,hello,100.0,100.0,False,
30,hi,100.0,100.0,False,
31,hi,100.0,100.0,False,
32,what's up?,95.0,95.0,False,
33,how are you?,96.0,96.0,False,
34,great,100.0,100.0,False,
35,f,0.0,100.0,False,
36,what ,45.0,80.0,False,
37,what is ,76.0,100.0,False,
38,,0.0,0.0,False,
39,a,50.0,100.0,False,
40,,0.0,0.0,False,
41,w,33.0,100.0,False,
42,wa,13.0,100.0,False,
43,on what?,40.0,88.0,False,
44,wh,21.0,100.0,False,
45,wjat ,36.0,100.0,False,
46,,0.0,0.0,False,
47,,0.0,0.0,False,
48,what is the ,35.0,100.0,False,
49,w,33.0,100.0,False,
50,w,33.0,100.0,False,
51,w,33.0,100.0,False,
52,where are you?,28.0,100.0,False,
53,what ,45.0,80.0,False,
54,hi,100.0,100.0,False,
55,ca va?,40.0,100.0,False,
56,what's my name?,100.0,100.0,False,
57,Your name is None (and I really hope you knew that).,,0.0,True,
58,how much ,40.0,100.0,False,
59,tell me a joke,25.0,100.0,False,
60,how many of my videos are private?,26.0,97.0,False,
61,hello how are you?,77.0,100.0,False,
62,and me?,21.0,100.0,False,
63,what time is it?,100.0,100.0,False,
64,where do I live?,88.0,88.0,False,
65,fair enough,35.0,100.0,False,
66,what language do you speak?,50.0,100.0,False,
67,you suck,38.0,100.0,False,
68,,0.0,0.0,False,
69,,0.0,0.0,False,
70,,0.0,0.0,False,
71,who are you?,88.0,88.0,False,
72,?,11.0,100.0,False,
73,?,11.0,100.0,False,
74,your name is whaT?,57.0,100.0,False,
75,ah ok,57.0,100.0,False,
76,hey,67.0,100.0,False,
77,,0.0,0.0,False,
78,How are you?,88.0,88.0,False,
79,help,67.0,100.0,False,
80,How are you?,88.0,88.0,False,
81,How cold is it?,28.0,100.0,False,
82,,0.0,0.0,False,
83,hello,100.0,100.0,False,
84,you re slow,35.0,100.0,False,
85,you suck,38.0,100.0,False,
86,what is,70.0,93.0,False,
87,hello,100.0,100.0,False,
88,,0.0,0.0,False,
89,,0.0,0.0,False,
90,what's up ,95.0,95.0,False,
91,,0.0,0.0,False,
92,great to hear that,43.0,100.0,False,
93,,0.0,0.0,False,
94,how many of my videos are private,26.0,96.0,False,
95,hey,67.0,100.0,False,
96,what,38.0,89.0,False,
97,wha,30.0,100.0,False,
98,hello,100.0,100.0,False,
99,are you french?,36.0,100.0,False,
100,what's good?,26.0,100.0,False,
101,why?,57.0,100.0,False,
102,com on baily,47.0,100.0,False,
103,,0.0,0.0,False,
104,,0.0,0.0,False,
105,,0.0,0.0,False,
106,what is my,52.0,100.0,False,
107,,0.0,0.0,False,
108,You have 0 videos.,,,True,2016-08-17 20:17:21
109,But Baily off course.,,,True,2016-08-17 20:18:18
110,I am eleventy-one today!,,,True,2016-08-17 20:26:07
111,You have 0 videos.,,,True,2016-08-17 20:29:25
112,It is currently 85.6F.,,,True,2016-08-17 20:29:45
113,You have 0 videos.,,,True,2016-08-17 20:31:00
114,Do you really want to know?,,,True,2016-08-17 20:31:35
115,Do you really want to know?,,,True,2016-08-17 20:31:50
116,I feel smarter than ever. You?,,,True,2016-08-17 20:31:57
117,Do you really want to know?,,,True,2016-08-17 20:32:59
118,Great.,,,True,2016-08-17 20:33:18
119,Do you really want to know?,,,True,2016-08-17 20:33:26
120,I feel smarter than ever. You?,,,True,2016-08-17 20:34:53
121,Uh-huh. ,,,True,2016-08-17 20:36:32
122,You have 0 videos.,,,True,2016-08-17 20:37:45
123,"Y'all come back now, ya hear?",,,True,2016-08-17 20:44:41
124,We'll always have Paris.,,,True,2016-08-17 20:45:40
125,Say it ain't so!,,,True,2016-08-17 20:45:45
126,You have 0 videos.,,,True,2016-08-17 20:49:30
127,I am your father.,,,True,2016-08-17 20:49:40
128,Top o' the morning to you!,,,True,2016-08-17 20:52:33
129,Good morning.,,,True,2016-08-17 20:52:36
130,If you believe in unicorns.,,,True,2016-08-17 20:56:18
131,It is currently 85.44F.,,,True,2016-08-17 21:04:41
132,"Good day, friend.",,,True,2016-08-17 21:44:30
133,I am your father.,,,True,2016-08-17 21:44:41
134,"My friends are 20, 2 and 5.",,,True,2016-08-18 16:17:15
135,It is currently 82.2FºF.,,,True,2016-08-18 19:04:44
136,It is currently 82.38ºF,,,True,2016-08-18 19:06:39
137,It is currently 82.39ºF,,,True,2016-08-18 19:07:06
138,Howdy.,,,True,2016-08-25 17:57:02
139,Hallo.,,,True,2016-08-25 17:57:35
140,Bonjour!,,,True,2016-08-25 17:57:42
141,Howdy.,,,True,2016-08-25 17:57:47
142,Bonjour!,,,True,2016-08-25 17:58:23
143,Good night.,,,True,2016-08-25 19:19:10
144,,,,True,2016-08-25 21:22:37
145,Fantastic.,,,True,2016-08-26 13:30:12
146,Hallo.,,,True,2016-08-26 19:53:49
147,Bonjour!,,,True,2016-08-27 23:40:39
148,Superb.,,,True,2016-08-29 14:13:27
149,Indeed.,,,True,2016-08-29 14:13:31
150,Tea.,,,True,2016-08-29 14:13:36
151,Caroline.,,,True,2016-08-29 14:13:43
152,Heart.,,,True,2016-08-29 14:13:50
153,👍,,,True,2016-08-29 14:16:04
154,I concur.,,,True,2016-08-29 14:19:32
155,Indeed.,,,True,2016-08-29 15:13:35
156,Great.,,,True,2016-08-29 15:49:26
157,No problem.,,,True,2016-08-29 16:41:33
158,I concur.,,,True,2016-08-29 16:45:31
159,😂,,,True,2016-08-29 16:46:06
160,Yes,,,True,2016-08-29 17:58:33
161,No problem.,,,True,2016-08-29 18:25:51
162,👎,,,True,2016-08-29 18:53:20
163,Computing.,,,True,2016-08-29 18:55:45
164,Bonjour!,,,True,2016-08-29 19:36:42
165,👍,,,True,2016-08-29 19:38:06
166,🍱,,,True,2016-08-29 19:39:08
167,🌮,,,True,2016-08-29 19:39:18
168,🍔,,,True,2016-08-29 19:40:05
169,🍕,,,True,2016-08-29 20:05:36
170,🍪,,,True,2016-08-29 20:45:04
171,no,,,True,2016-08-29 20:47:10
172,no,,,True,2016-08-29 20:47:19
173,Howdy.,,,True,2016-08-29 20:53:19
174,Check.,,,True,2016-08-29 21:31:16
175,Check.,,,True,2016-08-29 21:31:20
176,Check.,,,True,2016-08-29 21:32:36
177,Check.,,,True,2016-08-29 21:32:55
178,🐱,,,True,2016-08-29 22:05:34
179,🐈,,,True,2016-08-29 22:06:31
180,🐱,,,True,2016-08-29 22:07:03
181,🐱,,,True,2016-08-29 22:07:05
182,🐈,,,True,2016-08-29 22:07:08
183,🐈,,,True,2016-08-29 22:07:11
184,🐶,,,True,2016-08-29 22:07:21
185,🍱,,,True,2016-08-29 22:11:23
186,🍔,,,True,2016-08-29 22:11:56
187,Fish!,,,True,2016-08-29 22:12:03
188,Tacos!,,,True,2016-08-29 22:12:44
189,My voice.,,,True,2016-08-29 22:14:52
190,I am here.,,,True,2016-08-29 22:35:29
191,Be nice.,,,True,2016-08-29 22:44:23
192,what ,45.0,80.0,False,
193,what,38.0,89.0,False,
194,,0.0,0.0,False,
195,hello,100.0,100.0,False,
196,,0.0,0.0,False,
197,what,38.0,89.0,False,
198,what ,45.0,80.0,False,
199,in what countr,52.0,100.0,False,
200,,0.0,0.0,False,
201,hi,100.0,100.0,False,
202,H,0.0,100.0,False,
203,Who are you?,88.0,88.0,False,
204,Do you like beer?,94.0,94.0,False,
205,Do you like Sam?,40.0,100.0,False,
206,On what?,40.0,100.0,False,
207,How are you,83.0,83.0,False,
208,Why do you dislike Sam?,28.0,100.0,False,
209,Are you sure you don't like Sam?,58.0,100.0,False,
210,Why else don't you like Sam?,29.0,100.0,False,
211,How do I enabled monetization?,38.0,100.0,False,
212,How do I connect to the speakers?,44.0,100.0,False,
213,what are you,62.0,100.0,False,
214,where are you,24.0,96.0,False,
215,where do you live,97.0,97.0,False,
216,hey,67.0,100.0,False,
217,ho,57.0,100.0,False,
218,wh,21.0,100.0,False,
219,dhshdsuhd,50.0,100.0,False,
220,what's your name?,100.0,100.0,False,
221,how now brown cow,47.0,100.0,False,
222,where are you,24.0,96.0,False,
223,hello,100.0,100.0,False,
224,how,75.0,100.0,False,
