,text
0,How many of my videos are private?
1,what's your name?
2,How much did I earn from claim?
3,How many viewers are tuned in to my live right now?
4,In what country am I most popular?
5,How much did I earn from embeds?
6,what's up
7,How many views did I get on videos last month?
8,What is my most popular video?
9,Which of my live streams was the most popular? last month?
10,You are cool!
11,What was my most viewed video today? last week? last month? in January?
12,what is penis
13,what is pussy
14,How much did I earn from videos I've claimed?
15,Are you sure?
16,where are your from?
17,what time is it?
18,do you want to play beerpong?
19,What is the average duration of my videos?
20,do you like beer?
21,Which one of my channels brings in the most dough?
22,What is my current balance?
23,What was the last comment on any of my videos?
24,hi man
25,ya good lol?
26,good
27,Who is your daddy?
28,Baily
29,Be quiet
30,Whats hanging
31,Does Dailymotion owe me money ?
32,Do I have some claimed videos ?
33,Do people actually repost my videos ?
34,How much money did I make this month ?
35,Exactly
36,Fun
37,Are you a geek?
38,Are you hungry?
39,where do you live?
40,What is my most favorited video? of all time? today? last month?
41,what's my name?
42,"Find my last invoice, please."
43,How many views were there on my videos on Thursday?
44,how old are you?
45,How many views do I have on average?
46,How much on average do viewers spend on my videos?
47,salutations
48,"Hey Baily, how am I doing?"
49,How much did I earn from website monetization?
50,hi
51,On what sites do viewers find my videos?
52,hola
53,What are my newest child accounts?
54,How much did I earn from embeds on my site?
55,Bye.
56,How much did I earn from paid content?
57,ok
58,How much did I earn from my videos?
59,Bye bye.
60,how are you ?
61,how do you do?
62,You sure?
63,What is the answer to the Universe and everything?
64,What is the status of my channel invitations?
65,How many views do I have on my channel?
66,Farewell.
67,how goes
68,In what country do I have the most viewers?
69,What is my most viewed video of all time?
70,Fuck you
71,When will I receive my next payment?
72,hello
73,Which one of my channels has the most views? last month?
74,How many followers do I have?
75,How much have I made so far?
76,When is my next payment?
77,What is my revenue?
78,How is my channel performing?
79,help
80,What was my last live stream?
81,Cool
82,hey
83,Where is my money Baily?
84,really?
85,who are you dude?
86,where is my money
87,Baily I love you
88,are you hot?
89,who are ya
90,how u doin
91,That's mean
92,Hi
93,blah blah
94,No why
95,Really?
96,What?
97,good to know
98,not much
99,Hi there
100,what's up?
101,what tim eis it?
102,where do you live
103,what's up 
104,Do you like beer?
105,what's my name
106,How old are you?
107,whats up
108,what is the answer to the universe and everything?
109,Bye bye
110,cool
111,where do I live?
112,who are you?
113,How are you?
114,Bye
115,How are you
116,how are you baily?
117,you are cool
118,hello how are you?
119,youre cool
120,Whats up
121,hahaha
122,fuck you dude
123,that's good.
124,what are you
125,ah ok
126,why?
127,Baily or Bailey?
128,com on baily
129,how now brown cow
130,On what?
131,great to hear that
132,ca va?
133,on what?
134,what
135,you suck
136,you re slow
137,you are funny
138,test
139,are you french?
140,fair enough
141,where are you?
142,what's good?
143,where are you
144,yo
145,tell me a joke
146,and me?
147,how many of my videos are private?
148,How cold is it?
149,how many of my videos are private
150,Hi Baily
151,How many views do I have?
152,What is my most rented video?
153,What can I ask you?
154,how are you?
155,what's your name damn it
156,where are you from Baily?
157,who is Barack Obama?
158,who is bill clinton?
159,How do I connect to the speakers?
160,How do I enabled monetization?
161,How do you eat your carrots?
162,What's the forecast for next week?
163,Yo baily - how many users are watching my videos right now?
164,Which day are revenues sent out Baily?
165,Who is Carlotta 
166,What's eric's middle name
167,I feel good
168,Hey Baily
169,Is it Friday yet?
170,When will I get paid?
171,Who is the president of Dailymotion?
172,How many videos have I uploaded this month 
173,what is the temperature?
174,What month is it?
175,What day is it?
176,Cool thanks!
177,thanks
178,how many video views on average?
179,How many video views on my videos?
180,how many video views?
181,How many times have my videos been seen?
182,what is the forecast?
183,Hey Baily what's the forecast for tonight?
184,Thanks Baily!
185,Can you migrate 20m rows of report data?
186,Any tips to lose baily fat?
187,Pretty good
188,Not much
189,What do you do ?
190,Not cool
191,What are you doing?
192,You're hot
193,What is love
194,Who is DM CEO ?
195,How many of my videos do I have
196,Hmmm
197,Correct
198,Why have I made less revenue this month?
199,You like Star Wars?
200,What do i do
201,I need help
202,Show me a video
203,Show me a music video
204,How can I connect multiple channels?
205,Show me a funny video
206,What is Devin doing?
207,What is a Channel?
208,Where can I contact customer assistance?
209,What is the most seen video on Dailymotion?
210,What is Youtube?
211,What is the top Dailymotion video?
212,How do I contact customer support?
213,Where is the Dailymotion headquaters?
214,Can I invite a Channel to join my network?
215,How are my channels performing this week?
216,Who is Devin?
217,Do you like sam
218,Do you like Devin?
219,Is Sam cool?
220,Hate it
221,Yay super!
222,That's hilarious
223,Are you master Yoda?
224,Don't troll me
225,Great that helped!
226,Love it
227,Its OK
228,Are you a padawan?
229,Great - cheers Baily!
230,Its not funny
231,That's helpful
232,Boooooring
233,Where is benin
234,What's cooking
235,What's for dinner
236,What's next
237,Amazing
238,dope
239,Dope!
240,Lit
241,Any tips to loose fat?
242,How can I loose fat baily?
243,How can I unpublish a video?
244,How can I make a live stream?
245,cheers
246,Who are your friends Baily?
247,What are the days of the week Baily?
248,great
249,who am i
250,What day is today
251,Fuck
252,who am I?
253,What is the first day of the week?
254,What day was it yesterday?
255,What's a penis 
256,Fuk u 
257,Love you
258,Oh ok
259,is it really friday?
260,Why?
261,How?
262,What can't you do?
